id,cartucho_id,impresora_id,fecha,tipo_movimiento,cantidad,usuario_id,createdAt,updatedAt
"50","2","24","2026-02-02 15:08:43","ENTREGA A ÁREA","1","2","2026-02-02 15:08:43","2026-02-02 15:08:43"
"51","5","20","2026-02-03 10:30:45","ENTREGA A ÁREA","1","4","2026-02-03 10:30:45","2026-02-03 10:30:45"
"52","1","","2026-02-03 15:14:27","COMPRA","4","1","2026-02-03 15:14:27","2026-02-03 15:14:27"
"53","1","","2026-02-03 15:15:02","AJUSTE DE INVENTARIO","-1","1","2026-02-03 15:15:02","2026-02-03 15:15:02"
"54","9","","2026-02-03 15:15:41","COMPRA","4","1","2026-02-03 15:15:41","2026-02-03 15:15:41"
"55","5","","2026-02-03 15:16:03","COMPRA","4","1","2026-02-03 15:16:03","2026-02-03 15:16:03"
"56","20","","2026-02-03 15:16:44","COMPRA","3","1","2026-02-03 15:16:44","2026-02-03 15:16:44"
"57","23","","2026-02-03 15:17:02","COMPRA","1","1","2026-02-03 15:17:02","2026-02-03 15:17:02"
"58","26","","2026-02-03 15:17:24","COMPRA","1","1","2026-02-03 15:17:24","2026-02-03 15:17:24"
"59","2","","2026-02-03 15:17:37","COMPRA","1","1","2026-02-03 15:17:37","2026-02-03 15:17:37"
"60","8","","2026-02-03 15:18:01","COMPRA","2","1","2026-02-03 15:18:01","2026-02-03 15:18:01"
"61","6","","2026-02-03 15:18:54","COMPRA","2","1","2026-02-03 15:18:54","2026-02-03 15:18:54"
"62","32","","2026-02-03 15:20:15","COMPRA","1","1","2026-02-03 15:20:15","2026-02-03 15:20:15"
"63","1","","2026-02-03 15:54:55","AJUSTE DE INVENTARIO","1","2","2026-02-03 15:54:55","2026-02-03 15:54:55"
"64","1","4","2026-02-03 15:55:27","ENTREGA A ÁREA","1","2","2026-02-03 15:55:27","2026-02-03 15:55:27"
"65","1","4","2026-02-04 13:11:55","ENTREGA A ÁREA","1","2","2026-02-04 13:11:55","2026-02-04 13:11:55"
"66","32","23","2026-02-04 13:49:23","ENTREGA A ÁREA","1","2","2026-02-04 13:49:23","2026-02-04 13:49:23"
"67","9","21","2026-02-06 16:19:29","ENTREGA A ÁREA","1","2","2026-02-06 16:19:29","2026-02-06 16:19:29"
"68","24","1","2026-02-09 14:15:53","ENTREGA A ÁREA","1","2","2026-02-09 14:15:53","2026-02-09 14:15:53"
"69","25","1","2026-02-09 14:15:53","ENTREGA A ÁREA","1","2","2026-02-09 14:15:53","2026-02-09 14:15:53"
"70","26","1","2026-02-09 14:15:53","ENTREGA A ÁREA","1","2","2026-02-09 14:15:53","2026-02-09 14:15:53"
"71","27","1","2026-02-09 14:15:53","ENTREGA A ÁREA","1","2","2026-02-09 14:15:53","2026-02-09 14:15:53"
"72","27","","2026-02-09 14:22:43","AJUSTE DE INVENTARIO","1","2","2026-02-09 14:22:43","2026-02-09 14:22:43"
"73","23","","2026-02-09 14:25:00","AJUSTE DE INVENTARIO","-1","2","2026-02-09 14:25:00","2026-02-09 14:25:00"
"74","20","40","2026-02-10 13:44:12","ENTREGA A ÁREA","2","4","2026-02-10 13:44:12","2026-02-10 13:44:12"
"75","10","41","2026-02-10 14:17:20","ENTREGA A ÁREA","1","4","2026-02-10 14:17:20","2026-02-10 14:17:20"
"76","20","25","2026-02-19 15:21:39","ENTREGA A ÁREA","1","4","2026-02-19 15:21:39","2026-02-19 15:21:39"
"77","21","25","2026-02-19 15:21:39","ENTREGA A ÁREA","1","4","2026-02-19 15:21:39","2026-02-19 15:21:39"
"78","22","25","2026-02-19 15:21:39","ENTREGA A ÁREA","1","4","2026-02-19 15:21:39","2026-02-19 15:21:39"
"79","23","25","2026-02-19 15:21:39","ENTREGA A ÁREA","1","4","2026-02-19 15:21:39","2026-02-19 15:21:39"
"80","12","11","2026-02-20 13:50:10","ENTREGA A ÁREA","1","4","2026-02-20 13:50:10","2026-02-20 13:50:10"
"81","3","23","2026-02-23 10:05:34","ENTREGA A ÁREA","1","1","2026-02-23 10:05:34","2026-02-23 10:05:34"
"82","13","","2026-02-23 10:37:56","COMPRA","2","2","2026-02-23 10:37:56","2026-02-23 10:37:56"
"83","1","4","2026-02-23 14:15:52","ENTREGA A ÁREA","1","2","2026-02-23 14:15:52","2026-02-23 14:15:52"
"84","8","42","2026-02-24 11:12:59","ENTREGA A ÁREA","1","4","2026-02-24 11:12:59","2026-02-24 11:12:59"
"85","9","21","2026-02-25 20:02:52","ENTREGA A ÁREA","1","4","2026-02-25 20:02:52","2026-02-25 20:02:52"
"86","5","18","2026-03-02 12:49:55","ENTREGA A ÁREA","1","2","2026-03-02 12:49:55","2026-03-02 12:49:55"
"87","9","9","2026-03-02 12:54:28","ENTREGA A ÁREA","1","1","2026-03-02 12:54:28","2026-03-02 12:54:28"
"88","7","","2026-03-02 13:05:31","AJUSTE DE INVENTARIO","-2","1","2026-03-02 13:05:31","2026-03-02 13:05:31"
"89","14","","2026-03-02 13:08:03","AJUSTE DE INVENTARIO","-1","1","2026-03-02 13:08:03","2026-03-02 13:08:03"
"90","15","","2026-03-02 13:11:25","AJUSTE DE INVENTARIO","-2","1","2026-03-02 13:11:25","2026-03-02 13:11:25"
"91","17","12","2026-03-02 13:49:17","ENTREGA A ÁREA","1","1","2026-03-02 13:49:17","2026-03-02 13:49:17"
"92","1","4","2026-03-03 13:34:12","ENTREGA A ÁREA","2","1","2026-03-03 13:34:12","2026-03-03 13:34:12"
"93","20","6","2026-03-03 13:34:12","ENTREGA A ÁREA","1","1","2026-03-03 13:34:12","2026-03-03 13:34:12"
"94","21","3","2026-03-03 13:34:12","ENTREGA A ÁREA","1","1","2026-03-03 13:34:12","2026-03-03 13:34:12"
"95","22","3","2026-03-03 13:34:12","ENTREGA A ÁREA","1","1","2026-03-03 13:34:12","2026-03-03 13:34:12"
"96","23","3","2026-03-03 13:34:12","ENTREGA A ÁREA","1","1","2026-03-03 13:34:12","2026-03-03 13:34:12"
"97","5","16","2026-03-05 11:04:29","ENTREGA A ÁREA","1","1","2026-03-05 11:04:29","2026-03-05 11:04:29"
"98","14","44","2026-03-06 12:24:00","ENTREGA A ÁREA","1","1","2026-03-06 12:24:00","2026-03-06 12:24:00"
"99","5","14","2026-03-09 12:08:11","ENTREGA A ÁREA","1","2","2026-03-09 12:08:11","2026-03-09 12:08:11"
"100","5","20","2026-03-09 19:20:03","ENTREGA A ÁREA","1","4","2026-03-09 19:20:03","2026-03-09 19:20:03"
"101","9","21","2026-03-10 10:45:47","ENTREGA A ÁREA","1","1","2026-03-10 10:45:47","2026-03-10 10:45:47"
"30102","23","30046","2026-03-13 10:19:38","ENTREGA A ÁREA","1","4","2026-03-13 10:19:38","2026-03-13 10:19:38"
"30103","22","30046","2026-03-13 10:19:39","ENTREGA A ÁREA","1","4","2026-03-13 10:19:39","2026-03-13 10:19:39"
"30104","21","30046","2026-03-13 10:19:39","ENTREGA A ÁREA","1","4","2026-03-13 10:19:39","2026-03-13 10:19:39"
"30105","20","30046","2026-03-13 10:19:40","ENTREGA A ÁREA","1","4","2026-03-13 10:19:40","2026-03-13 10:19:40"
"60102","60033","","2026-03-17 16:34:13","COMPRA","2","1","2026-03-17 16:34:13","2026-03-17 16:34:13"
